point_id,valley,X,Y,data_type,verific_day,outcome,offset,offset_req,elevation,rel_elev,dist_sewer,dist_pri_sewer,dist_trash,lc_10m_veg,lc_10m_soil,lc_10m_imperv,lc_30m_veg,lc_30m_soil,lc_30m_imperv,lc_pablo_10m_veg,lc_pablo_10m_soil,lc_pablo_10m_imperv,lc_pablo_30m_veg,lc_pablo_30m_soil,lc_pablo_30m_imperv
75,2,561238,8571213,faeces,1,0,1,0,30,2,8.542901935,8.542901935,12.92614786,0.756410256,0.064102564,0.179487179,0.577363897,0.242120344,0.180515759,0.497659906,0.029641186,0.472698908,0.647614099,0.136745475,0.215640426
81,2,561128.1,8571179,faeces,1,0,1,0,50.81761551,22.817615510000003,17.87609304,42.89480183,74.38005434,0,0.256410256,0.743589744,0.142450142,0.324786325,0.532763533,0.017926734,0.02416212,0.957911146,0.247639671,0.178172369,0.57418796
82,2,561092.8,8571215,faeces,1,0,1,0,52.08482361,24.08482361,16.06428434,39.77331916,109.6130841,0.067567568,0.513513514,0.418918919,0.112215909,0.367897727,0.519886364,0.264385692,0.178849145,0.556765163,0.257818591,0.129688989,0.61249242
83,2,561194.2,8571247,faeces,1,0,1,0,32.69998169,4.699981690000001,4.379507421,26.87628706,17.68268144,0.223684211,0.302631579,0.473684211,0.347578348,0.343304843,0.309116809,0.456099456,0.258741259,0.285159285,0.443549784,0.172900433,0.383549784
90,2,561168.4,8571205,faeces,1,0,1,0,32.82232666,4.822326660000002,3.190099623,3.190099623,35.6665254,0.013157895,0.539473684,0.447368421,0.184285714,0.42,0.395714286,0.043715847,0.267759563,0.68852459,0.309565067,0.18792237,0.502512563
91,2,561090.9,8571222,faeces,1,0,1,0,54.41458511,26.414585109999997,9.329681006,41.59786454,111.7837956,0.0875,0.3625,0.55,0.109375,0.356534091,0.534090909,0.381026439,0.134525661,0.4844479,0.280228829,0.140504464,0.579266707
93,2,561232.4,8571264,faeces,1,0,1,0,41.11536026,13.115360260000003,5.7900332390000004,42.90585439,37.65658085,0.0125,0.4,0.5875,0.278873239,0.354929577,0.366197183,0.217729393,0.377138414,0.405132193,0.489560773,0.183141298,0.327297929
97,2,561171.1,8571222,faeces,1,0,1,0,29,1,6.517904319,12.34922504,28.55697327,0.425,0.425,0.15,0.274147727,0.40625,0.319602273,0.654984424,0.152647975,0.192367601,0.436335269,0.193811216,0.369853515
109,2,561145.4,8571136,faeces,1,0,1,0,34,6,11.00245141,11.00245141,28.91952552,0.038461538,0.730769231,0.230769231,0.372881356,0.435028249,0.192090395,0.17109375,0.2,0.62890625,0.501386242,0.1609773,0.337636458
16,2,561102.3,8571156,faeces,1,0,1,0,48.31155777,20.31155777,18.45020929,51.55350818,63.59794686,0.487179487,0.051282051,0.461538462,0.144067797,0.303672316,0.552259887,0.231669267,0.056942278,0.711388456,0.256996794,0.163590677,0.579412529
